0,2.505282473133875
1,3.229077656886192
2,2.9382618232378994
3,2.7187959630912855
4,3.5167217580213848
5,4.072359467832538
6,3.986512348500102
7,2.6410977186009577
8,3.8747132577621737
9,3.1767451358726766
10,3.1179739608473493
11,3.7271349237663416
12,3.119549543362678
13,4.226790127838699
14,3.253377785789664
15,3.783816819647536
16,4.136723213149355
17,2.696314338619009
18,3.1446047770138743
19,3.498293150327886
20,1.957607341470261
21,3.568091054628617
22,2.9031998196215962
23,3.4307485890945366
24,4.337846755714832
25,4.199125670910413
26,3.25079181043655
27,3.094039208465282
28,2.738317785226842
29,2.373321755924786
30,2.4738893952630785
